[2025-05-13 18:04:08] Starting UE client to RRH (10.0.0.100)
   [2025-05-13 18:05:53] Previous Value: 103, New Value: 104, vBBU: vbbu1
   [2025-05-13 18:05:54] Previous Value: 104, New Value: 105, vBBU: vbbu1
   [2025-05-13 18:05:55] Previous Value: 105, New Value: 106, vBBU: vbbu1
   [2025-05-13 18:05:56] Previous Value: 106, New Value: 107, vBBU: vbbu1
   [2025-05-13 18:05:57] Previous Value: 107, New Value: 108, vBBU: vbbu1
   [2025-05-13 18:05:58] Previous Value: 108, New Value: 109, vBBU: vbbu1
   [2025-05-13 18:05:59] Previous Value: 109, New Value: 110, vBBU: vbbu1
   [2025-05-13 18:06:00] Previous Value: 110, New Value: 111, vBBU: vbbu1
   [2025-05-13 18:06:01] Previous Value: 111, New Value: 112, vBBU: vbbu1
   [2025-05-13 18:06:02] Previous Value: 112, New Value: 113, vBBU: vbbu1
   [2025-05-13 18:06:03] Previous Value: 113, New Value: 114, vBBU: vbbu1
   [2025-05-13 18:06:04] Previous Value: 114, New Value: 115, vBBU: vbbu1
   [2025-05-13 18:06:05] Previous Value: 115, New Value: 116, vBBU: vbbu1
   [2025-05-13 18:06:06] Previous Value: 116, New Value: 117, vBBU: vbbu1
   [2025-05-13 18:06:07] Previous Value: 117, New Value: 118, vBBU: vbbu1
   [2025-05-13 18:06:08] Previous Value: 118, New Value: 119, vBBU: vbbu1
   [2025-05-13 18:06:09] Previous Value: 119, New Value: 120, vBBU: vbbu1
   [2025-05-13 18:06:10] Previous Value: 120, New Value: 121, vBBU: vbbu1
   [2025-05-13 18:06:11] Previous Value: 121, New Value: 122, vBBU: vbbu1
   [2025-05-13 18:06:12] Previous Value: 122, New Value: 123, vBBU: vbbu1
   [2025-05-13 18:06:13] Previous Value: 123, New Value: 124, vBBU: vbbu1
   [2025-05-13 18:06:14] Previous Value: 124, New Value: 125, vBBU: vbbu1
   [2025-05-13 18:06:15] Previous Value: 125, New Value: 126, vBBU: vbbu1
   [2025-05-13 18:06:16] Previous Value: 126, New Value: 127, vBBU: vbbu1
   [2025-05-13 18:06:17] Previous Value: 127, New Value: 128, vBBU: vbbu1
   [2025-05-13 18:06:18] Previous Value: 128, New Value: 129, vBBU: vbbu1
   [2025-05-13 18:06:19] Previous Value: 129, New Value: 130, vBBU: vbbu1
   [2025-05-13 18:06:20] Previous Value: 130, New Value: 131, vBBU: vbbu1
   [2025-05-13 18:06:21] Previous Value: 131, New Value: 132, vBBU: vbbu1
   [2025-05-13 18:06:22] Previous Value: 132, New Value: 133, vBBU: vbbu1
   [2025-05-13 18:06:23] Previous Value: 133, New Value: 134, vBBU: vbbu1
   [2025-05-13 18:06:24] Previous Value: 134, New Value: 135, vBBU: vbbu1
   [2025-05-13 18:06:25] Previous Value: 135, New Value: 136, vBBU: vbbu1
   [2025-05-13 18:06:26] Previous Value: 136, New Value: 137, vBBU: vbbu1
   [2025-05-13 18:06:27] Previous Value: 137, New Value: 138, vBBU: vbbu1
   [2025-05-13 18:06:28] Previous Value: 138, New Value: 139, vBBU: vbbu1
   [2025-05-13 18:06:29] Previous Value: 139, New Value: 140, vBBU: vbbu1
   [2025-05-13 18:06:30] Previous Value: 140, New Value: 141, vBBU: vbbu1
   [2025-05-13 18:06:31] Previous Value: 141, New Value: 142, vBBU: vbbu1
   [2025-05-13 18:06:32] Previous Value: 142, New Value: 143, vBBU: vbbu1
   [2025-05-13 18:06:33] Previous Value: 143, New Value: 144, vBBU: vbbu1
   [2025-05-13 18:06:34] Previous Value: 144, New Value: 145, vBBU: vbbu1
   [2025-05-13 18:06:35] Previous Value: 145, New Value: 146, vBBU: vbbu1
   [2025-05-13 18:06:36] Previous Value: 146, New Value: 147, vBBU: vbbu1
   [2025-05-13 18:06:37] Previous Value: 147, New Value: 148, vBBU: vbbu1
   [2025-05-13 18:06:39] Previous Value: 148, New Value: 149, vBBU: vbbu1
   [2025-05-13 18:06:40] Previous Value: 149, New Value: 150, vBBU: vbbu1
   [2025-05-13 18:06:41] Previous Value: 150, New Value: 151, vBBU: vbbu1
   [2025-05-13 18:06:42] Previous Value: 151, New Value: 152, vBBU: vbbu1
   [2025-05-13 18:06:43] Previous Value: 152, New Value: 153, vBBU: vbbu1
   [2025-05-13 18:06:44] Previous Value: 153, New Value: 154, vBBU: vbbu1
   [2025-05-13 18:06:45] Previous Value: 154, New Value: 155, vBBU: vbbu1
   [2025-05-13 18:06:46] Previous Value: 155, New Value: 156, vBBU: vbbu1
   [2025-05-13 18:06:47] Previous Value: 156, New Value: 157, vBBU: vbbu1
   [2025-05-13 18:06:48] Previous Value: 157, New Value: 158, vBBU: vbbu1
   [2025-05-13 18:06:49] Previous Value: 158, New Value: 159, vBBU: vbbu1
   [2025-05-13 18:06:50] Previous Value: 159, New Value: 160, vBBU: vbbu1
   [2025-05-13 18:06:51] Previous Value: 160, New Value: 161, vBBU: vbbu1
   [2025-05-13 18:06:52] Previous Value: 161, New Value: 162, vBBU: vbbu1
   [2025-05-13 18:06:53] Previous Value: 162, New Value: 163, vBBU: vbbu1
   [2025-05-13 18:06:54] Previous Value: 163, New Value: 164, vBBU: vbbu1
   [2025-05-13 18:06:55] Previous Value: 164, New Value: 165, vBBU: vbbu1
   [2025-05-13 18:06:56] Previous Value: 165, New Value: 166, vBBU: vbbu1
   [2025-05-13 18:06:57] Previous Value: 166, New Value: 167, vBBU: vbbu1
   [2025-05-13 18:06:58] Previous Value: 167, New Value: 168, vBBU: vbbu1
   [2025-05-13 18:06:59] Previous Value: 168, New Value: 169, vBBU: vbbu1
   [2025-05-13 18:07:00] Previous Value: 169, New Value: 170, vBBU: vbbu1
   [2025-05-13 18:07:01] Previous Value: 170, New Value: 171, vBBU: vbbu1
   [2025-05-13 18:07:02] Previous Value: 171, New Value: 172, vBBU: vbbu1
   [2025-05-13 18:07:03] Previous Value: 172, New Value: 173, vBBU: vbbu1
   [2025-05-13 18:07:04] Previous Value: 173, New Value: 174, vBBU: vbbu1
